id	dimension	kind	production_ns	byte_gosper_ns	change_percent	ess_count	candidate_count
1	2	full	1427.0077881463137	1395.6054795662105	-2.20057000	1	1
2	2	full	1593.7494343777753	1495.6649176913527	-6.15432000	2	2
3	3	full	2565.4026829067566	2506.1682681701191	-2.30897000	1	1
4	3	full	3198.6061165769447	3173.0246774319503	-0.79976800	1	2
5	3	full	3339.9279333383379	3330.0721878662948	-0.29508900	0	2
6	3	full	3494.6252887074156	3454.9009678248731	-1.13673000	1	2
7	4	full	6832.378700453728	6593.9615077938115	-3.48952000	0	3
8	5	circular	5451.3386250666481	5438.503657082284	-0.23544600	5	5
9	5	full	10097.024475099141	9884.2230329875274	-2.10757000	6	6
10	6	circular	14971.31165112093	14541.795909921717	-2.86893000	9	9
11	7	circular	12207.816346612595	12103.315745393635	-0.85601400	14	14
12	7	circular	12975.605791173943	12278.080570997186	-5.37567000	14	14
13	8	circular	84501.819969742821	82967.981219748312	-1.81515000	20	20
14	9	circular	88098.739982949701	82835.747370510027	-5.97397000	30	30
15	10	circular	258541.76555023924	270343.27774333541	4.56464000	50	50
16	11	circular	79514.754234026172	84915.672626387182	6.79235000	66	66
17	11	circular	49009.352657004834	48781.97221536182	-0.46395300	55	55
18	12	circular	762949.02857142861	781305.18026565469	2.40595000	105	105
19	12	circular	2445949.7485714285	2463873.0747126439	0.73277600	12	61
20	12	circular	161838.98477598955	171091.60495330897	5.71718000	24	36
21	12	circular	1988658.986111111	1979696.1442307692	-0.45069800	105	105
22	13	circular	211575.90762620838	240435.41608391609	13.64030000	143	143
23	14	circular	1816431.4743589743	1854586.9017857143	2.10057000	224	224
24	15	circular	5318255.682926829	5415975.4078947371	1.83744000	360	360
25	16	circular	14147948.833333334	13999976.633333333	-1.04589000	512	512
26	17	circular	7539198.9473684207	7866999.3518518517	4.34795000	493	612
27	18	circular	66781417.857142858	46542153.555555552	-30.30670000	1152	1152
28	19	circular	11776705.055555556	17946154.833333332	52.38690000	1444	1843
29	19	circular	90691943.200000003	92673260	2.18467000	19	76
30	20	circular	346814922	220856754	-36.31860000	2560	2560
31	21	circular	733176179	474252342	-35.31540000	4410	4410
32	22	circular	3468444141	1334286938	-61.53070000	5632	6336
33	23	circular	552332717	567770447	2.79501000	2507	3703
34	24	circular	21686616608	5761231595	-73.43420000	15120	15120
35	18	circular	137648821.66666666	138680752.33333334	0.74968400	258	258
36	4	full	9379.5664938623122	9439.4897130089084	0.63887000	0	2
37	4	full	9185.8146333075401	9188.7433406010041	0.03188290	0	2
38	2	full	2882.9204154504696	2905.1543860176434	0.77123100	1	1
39	2	full	4412.0020441691013	4329.5612824961563	-1.86856000	1	1
41	2	full	1428.839771811027	1396.4168278817822	-2.26918000	1	1
42	2	full	1245.2351955833651	1210.6959912551158	-2.77371000	1	1
43	2	full	1314.1608355989952	1287.4652600978641	-2.03138000	0	2
44	2	full	1426.7640948282385	1395.2475032253753	-2.20896000	1	1
